Date;Pair;Side;Price;Quantity;Amount;Fee;RealizedProfit
27/02/2021 20:01;NEOUSDT;SELL;38.642;0.66;25.5037200000 USDT;-0.0076511100 USDT;0
27/02/2021 20:01;DASHUSDT;SELL;219.39;0.023;5.0459700000 USDT;-0.0015137900 USDT;0
27/02/2021 20:01;NEOUSDT;SELL;38.643;1.62;62.6016600000 USDT;-0.0187804900 USDT;0.34542
27/02/2021 20:01;DASHUSDT;SELL;219.4;0.391;85.7854000000 USDT;-0.0257356200 USDT;0.83628
27/02/2021 20:01;COMPUSDT;SELL;418.41;0.222;92.8870200000 USDT;-0.0278661000 USDT;0.73371
27/02/2021 20:01;OMGUSDT;SELL;4.671;19.8;92.4858000000 USDT;-0.0277457400 USDT;0.5841
27/02/2021 20:01;SXPUSDT;SELL;2.3411;39.6;92.7075600000 USDT;-0.0278122600 USDT;1.24938
27/02/2021 20:01;STORJUSDT;SELL;0.6593;140;92.3020000000 USDT;-0.0276906000 USDT;1.4
27/02/2021 20:01;RENUSDT;SELL;1.107;86;95.2020000000 USDT;-0.0285606000 USDT;1.204
27/02/2021 20:01;TRXUSDT;SELL;0.04785;787;37.6579500000 USDT;-0.0037657900 USDT;0.3224
27/02/2021 20:01;TRXUSDT;SELL;0.04785;419;20.0491500000 USDT;-0.0020049100 USDT;0
27/02/2021 20:01;TRXUSDT;SELL;0.04785;138;6.6033000000 USDT;-0.0006603300 USDT;0
27/02/2021 20:01;TRXUSDT;SELL;0.04785;220;10.5270000000 USDT;-0.0010527000 USDT;0
27/02/2021 20:01;TRXUSDT;SELL;0.04785;323;15.4555500000 USDT;-0.0015455500 USDT;0.16796
27/02/2021 20:02;IOTAUSDT;BUY;1.2;37.2;44.6400000000 USDT;-0.0044640000 USDT;0
27/02/2021 20:02;BCHUSDT;BUY;496.1;0.179;88.8019000000 USDT;-0.0088801900 USDT;-0.2691
27/02/2021 20:08;WAVESUSDT;BUY;9.95;8.8;87.5600000000 USDT;-0.0087560000 USDT;-1.9458
27/02/2021 20:41;SOLUSDT;BUY;13.82;6;82.9200000000 USDT;-0.0082920000 USDT;-0.99
27/02/2021 20:42;ALGOUSDT;BUY;1.151;77.6;89.3176000000 USDT;-0.0089317600 USDT;-7.02685
27/02/2021 22:01;ZECUSDT;BUY;121.8;0.728;88.6704000000 USDT;-0.0266011200 USDT;0.43681
27/02/2021 22:01;ENJUSDT;BUY;0.57777;144;83.1988800000 USDT;-0.0249596600 USDT;1.056
27/02/2021 22:01;ENJUSDT;BUY;0.57783;9;5.2004700000 USDT;-0.0015601400 USDT;0
27/02/2021 22:02;ZILUSDT;SELL;0.1207;771;93.0597000000 USDT;-0.0093059700 USDT;2.41395
27/02/2021 22:02;KAVAUSDT;SELL;3.713;25.4;94.3102000000 USDT;-0.0094310200 USDT;1.5494
27/02/2021 22:02;SNXUSDT;SELL;19.74;4.4;86.8560000000 USDT;-0.0086856000 USDT;0.55
27/02/2021 22:02;FTMUSDT;SELL;0.4782;204;97.5528000000 USDT;-0.0097552800 USDT;-0.6834
27/02/2021 22:03;BNBUSDT;SELL;229.47;0.19;43.5993000000 USDT;-0.0043599200 USDT;0
27/02/2021 22:03;KNCUSDT;SELL;1.76;25;44.0000000000 USDT;-0.0044000000 USDT;0
27/02/2021 22:03;DOTUSDT;SELL;34.57;2.6;89.8820000000 USDT;-0.0089882000 USDT;0.7748
27/02/2021 22:03;SRMUSDT;SELL;5.49;16;87.8400000000 USDT;-0.0087840000 USDT;1.044
27/02/2021 22:13;SXPUSDT;BUY;2.302;40.2;92.5404000000 USDT;-0.0092540400 USDT;0.77418
27/02/2021 22:16;OCEANUSDT;BUY;0.9241;99;91.4859000000 USDT;-0.0091485900 USDT;1.3392
27/02/2021 22:42;ETCUSDT;SELL;11.24;7.86;88.3464000000 USDT;-0.0088346400 USDT;0.1965
28/02/2021 00:02;ONTUSDT;BUY;0.9073;96.6;87.6451800000 USDT;-0.0262935500 USDT;2.14368
28/02/2021 00:02;ATOMUSDT;BUY;18.943;5.14;97.3670200000 USDT;-0.0292101000 USDT;3.16386
28/02/2021 00:02;NEOUSDT;BUY;36.982;2.36;87.2775200000 USDT;-0.0261832500 USDT;1.89287999
28/02/2021 00:02;OMGUSDT;BUY;4.4461;20.6;91.5896600000 USDT;-0.0274768900 USDT;2.22651
28/02/2021 00:02;BLZUSDT;BUY;0.17064;521;88.9034400000 USDT;-0.0266710300 USDT;-4.31648
28/02/2021 00:02;RENUSDT;BUY;1.05984;89;94.3257600000 USDT;-0.0282977200 USDT;2.02788
28/02/2021 00:06;THETAUSDT;SELL;3.156;27.5;86.7900000000 USDT;-0.0086789900 USDT;-0.9315
28/02/2021 00:07;LRCUSDT;SELL;0.5398;159;85.8282000000 USDT;-0.0085828200 USDT;-1.072
28/02/2021 00:07;BALUSDT;SELL;36.62;2.2;80.5640000000 USDT;-0.0080564000 USDT;-0.8052
28/02/2021 00:07;XTZUSDT;SELL;3.639;24.6;89.5194000000 USDT;-0.0089519400 USDT;0.0984
28/02/2021 00:07;MKRUSDT;SELL;1974.91;0.044;86.8960400000 USDT;-0.0086896000 USDT;0.17006
28/02/2021 00:07;XLMUSDT;SELL;0.4387;207;90.8109000000 USDT;-0.0090810900 USDT;0.9568
28/02/2021 00:07;CRVUSDT;SELL;1.964;43.6;85.6304000000 USDT;-0.0085630300 USDT;-1.4606
28/02/2021 00:08;XRPUSDT;SELL;0.4363;202.9;88.5252700000 USDT;-0.0088525200 USDT;-0.4056
28/02/2021 00:08;SOLUSDT;SELL;13.19;6;79.1400000000 USDT;-0.0079139900 USDT;-1.89
28/02/2021 00:08;BCHUSDT;SELL;483.48;0.178;86.0594400000 USDT;-0.0086059400 USDT;-1.12318
28/02/2021 02:02;ETCUSDT;BUY;10.969;8.05;88.3004500000 USDT;-0.0264901300 USDT;1.06503
28/02/2021 02:02;LTCUSDT;BUY;171.12;0.522;89.3246400000 USDT;-0.0267973900 USDT;1.0302
28/02/2021 02:02;ALGOUSDT;SELL;1.1087;56.9;63.0850300000 USDT;-0.0189255000 USDT;-1.02366
28/02/2021 02:02;ALGOUSDT;SELL;1.1087;8.5;9.4239500000 USDT;-0.0028271800 USDT;-0.35955
28/02/2021 02:02;WAVESUSDT;SELL;9.4875;7.7;73.0537500000 USDT;-0.0219161200 USDT;-1.9425
28/02/2021 02:02;WAVESUSDT;SELL;9.4826;0.7;6.6378200000 USDT;-0.0019913400 USDT;0
28/02/2021 02:02;SRMUSDT;BUY;5.193;17;88.2810000000 USDT;-0.0088281000 USDT;2.376
28/02/2021 02:02;EOSUSDT;BUY;3.67;26.2;96.1540000000 USDT;-0.0096154000 USDT;1.8648
28/02/2021 02:03;FTMUSDT;BUY;0.477;205;97.7850000000 USDT;-0.0097785000 USDT;0.1224
28/02/2021 02:04;ETHUSDT;BUY;1463.3;0.06;87.7980000000 USDT;-0.0087798000 USDT;0.7077
28/02/2021 02:04;KAVAUSDT;BUY;3.569;26.4;94.2216000000 USDT;-0.0094221600 USDT;1.8288
28/02/2021 02:04;CRVUSDT;BUY;1.934;44.3;85.6762000000 USDT;-0.0085676200 USDT;0.654
28/02/2021 02:04;KNCUSDT;BUY;1.676;52;87.1520000000 USDT;-0.0087151900 USDT;2.1
28/02/2021 02:04;COMPUSDT;BUY;397.31;0.234;92.9705400000 USDT;-0.0092970500 USDT;2.3421
28/02/2021 04:01;ETHUSDT;SELL;1381.51;0.061;84.2721100000 USDT;-0.0252816300 USDT;-2.4537
28/02/2021 04:01;ATOMUSDT;SELL;17.815;5.45;97.0917500000 USDT;-0.0291275200 USDT;-3.05688
28/02/2021 04:02;ZRXUSDT;SELL;1.2497;68.6;85.7294200000 USDT;-0.0257188200 USDT;-3.06299
28/02/2021 04:02;CRVUSDT;SELL;1.75;45;78.7500000000 USDT;-0.0236250000 USDT;-4.14
28/02/2021 04:03;TOMOUSDT;BUY;1.651;50;82.5500000000 USDT;-0.0082550000 USDT;5.10039999
28/02/2021 04:03;WAVESUSDT;BUY;8.998;8.9;80.0822000000 USDT;-0.0080082200 USDT;2.05246999
28/02/2021 04:03;BALUSDT;BUY;34.36;2.4;82.4640000000 USDT;-0.0082463900 USDT;2.486
28/02/2021 04:03;XRPUSDT;BUY;0.4177;212;88.5524000000 USDT;-0.0088552400 USDT;1.8879
28/02/2021 04:03;XTZUSDT;BUY;3.338;26.8;89.4584000000 USDT;-0.0089458400 USDT;3.7023
28/02/2021 04:03;STORJUSDT;BUY;0.6275;147;92.2425000000 USDT;-0.0092242500 USDT;2.226
